,UTF-8,字,class_idx
0,E4BA9C,亜,2
1,E59496,唖,8
2,E5A883,娃,4
3,E998BF,阿,1
4,E59380,哀,6
5,E6849B,愛,5
6,E68CA8,挨,9
7,E5A7B6,姶,1
8,E980A2,逢,0
9,E891B5,葵,6
10,E88C9C,茜,7
11,E7A990,穐,3
12,E682AA,悪,2
13,E68FA1,握,9
14,E6B8A5,渥,0
15,E697AD,旭,1
16,E891A6,葦,7
17,E88AA6,芦,7
18,E9AFB5,鯵,7
19,E6A293,梓,3
20,E59CA7,圧,2
21,E696A1,斡,1
22,E689B1,扱,9
23,E5AE9B,宛,2
24,E5A790,姐,1
25,E899BB,虻,1
26,E9A3B4,飴,1
27,E7B5A2,絢,4
28,E7B6BE,綾,4
29,E9AE8E,鮎,1
30,E68896,或,4
31,E7B29F,粟,5
32,E8A2B7,袷,9
33,E5AE89,安,6
34,E5BAB5,庵,6
35,E68C89,按,9
36,E69A97,暗,4
37,E6A188,案,5
38,E99787,闇,1
39,E99E8D,鞍,8
40,E69D8F,杏,2
41,E4BBA5,以,4
42,E4BC8A,伊,3
43,E4BD8D,位,9
44,E4BE9D,依,9
45,E58189,偉,3
46,E59BB2,囲,1
47,E5A4B7,夷,6
48,E5A794,委,6
49,E5A881,威,4
50,E5B089,尉,1
51,E6839F,惟,9
52,E6848F,意,2
53,E685B0,慰,2
54,E69893,易,1
55,E6A485,椅,3
56,E782BA,為,1
57,E7958F,畏,6
58,E795B0,異,6
59,E7A7BB,移,3
60,E7B6AD,維,4
61,E7B7AF,緯,4
62,E88383,胃,2
63,E8908E,萎,6
64,E8A1A3,衣,6
65,E8AC82,謂,1
66,E98195,違,0
67,E981BA,遺,0
68,E58CBB,医,8
69,E4BA95,井,7
70,E4BAA5,亥,6
71,E59F9F,域,8
72,E882B2,育,2
73,E98381,郁,7
74,E7A3AF,磯,6
75,E4B880,一,3
76,E5A3B1,壱,2
77,E6BAA2,溢,0
78,E980B8,逸,0
79,E7A8B2,稲,3
80,E88CA8,茨,0
81,E88A8B,芋,5
82,E9B0AF,鰯,4
83,E58581,允,2
84,E58DB0,印,7
85,E592BD,咽,4
86,E593A1,員,6
87,E59BA0,因,1
88,E5A7BB,姻,4
89,E5BC95,引,3
90,E9A3B2,飲,4
91,E6B7AB,淫,0
92,E883A4,胤,6
93,E894AD,蔭,6
94,E999A2,院,8
95,E999B0,陰,8
96,E99AA0,隠,8
97,E99FBB,韻,8
98,E5908B,吋,7
99,E58FB3,右,2
100,E5AE87,宇,5
101,E7838F,烏,6
102,E7BEBD,羽,1
103,E8BF82,迂,0
104,E99BA8,雨,1
105,E58DAF,卯,7
106,E9B59C,鵜,4
107,E7AABA,窺,6
108,E4B891,丑,2
109,E7A293,碓,6
110,E887BC,臼,2
111,E6B8A6,渦,0
112,E59898,嘘,8
113,E59484,唄,8
114,E6AC9D,欝,3
115,E8949A,蔚,1
116,E9B0BB,鰻,4
117,E5A7A5,姥,4
118,E58EA9,厩,8
119,E6B5A6,浦,0
120,E7939C,瓜,6
121,E9968F,閏,1
122,E59982,噂,7
123,E4BA91,云,1
124,E9818B,運,0
125,E99BB2,雲,5
126,E88D8F,荏,7
127,E9A48C,餌,4
128,E58FA1,叡,8
129,E596B6,営,2
130,E5ACB0,嬰,6
131,E5BDB1,影,5
132,E698A0,映,8
133,E69BB3,曳,5
134,E6A084,栄,5
135,E6B0B8,永,5
136,E6B3B3,泳,0
137,E6B4A9,洩,0
138,E7919B,瑛,6
139,E79B88,盈,2
140,E7A98E,穎,8
141,E9A0B4,頴,8
142,E88BB1,英,5
143,E8A19B,衛,3
144,E8A9A0,詠,7
145,E98BAD,鋭,4
146,E6B6B2,液,0
147,E796AB,疫,9
148,E79B8A,益,2
149,E9A785,駅,8
150,E682A6,悦,9
151,E8AC81,謁,1
152,E8B68A,越,8
153,E996B2,閲,1
154,E6A68E,榎,9
155,E58EAD,厭,8
156,E58686,円,2
157,E59C92,園,1
158,E5A0B0,堰,8
159,E5A584,奄,0
160,E5AEB4,宴,6
161,E5BBB6,延,1
162,E680A8,怨,2
163,E68EA9,掩,3
164,E68FB4,援,9
165,E6B2BF,沿,0
